"sample-id"	"extraction-id"	"dna-extraction-batch"	"nanodrop-dna-concentration-ng-per-uL"	"A260-A280"	"A230-A260"	"DNA-volume-sent-for-library-prep-in-uL"	"water-volume-added-to-dilute-DNA-in-uL"	"DNA-concentration-sent-to-Dalhousie-nanodrop-ng-per-uL"	"sequencing-batch"	"plate-batch"	"sample-type"	"country"	"replicate"	"read_depth_afterDADA2"	"read-depth-compared-to-blanks"	"read_depth_afterTaxaRemoval"	"bead-basher-used"
"D187"	"CD139Y.3"	"13"	"245.488"	"1.9"	"2.15"	"14.664667926741837"	"0.33533207325816328"	"240"	"1"	"2"	"stool"	"Denmark"	"no"	23810	"above"	23810	"old"
"D188"	"CD139Y.4"	"13"	"105.738"	"1.9419999999999999"	"2.0590000000000002"	"15"	"0"	"105.738"	"1"	"2"	"stool"	"Denmark"	"no"	18621	"above"	18621	"old"
"D189"	"CD140A.2"	"13"	"11.378"	"2.6789999999999998"	"1.1639999999999999"	"15"	"0"	"11.378000000000002"	"1"	"2"	"stool"	"Denmark"	"no"	37000	"above"	37000	"old"
"D19"	"CD010A.3"	"9"	"103.40600000000001"	"1.9390000000000001"	"2.0009999999999999"	"15"	"0"	"103.40600000000001"	"1"	"1"	"stool"	"Denmark"	"no"	7104	"below"	7104	"old"
"D190"	"CD140A.3"	"13"	"49.406999999999996"	"2.004"	"1.9319999999999999"	"15"	"0"	"49.406999999999996"	"1"	"2"	"stool"	"Denmark"	"no"	22354	"above"	22354	"old"
"D191"	"CD140A.4"	"13"	"6.3209999999999997"	"2.3849999999999998"	"0.76900000000000002"	"15"	"0"	"6.3209999999999997"	"1"	"2"	"stool"	"Denmark"	"no"	15628	"above"	15628	"old"
"D193"	"CD144Y.2"	"13"	"72.546999999999997"	"1.9279999999999999"	"2.0070000000000001"	"15"	"0"	"72.546999999999997"	"1"	"3"	"stool"	"Denmark"	"no"	75248	"above"	75248	"old"
"D194"	"CD144Y.3"	"13"	"171.46199999999999"	"1.93"	"2.109"	"15"	"0"	"171.46199999999999"	"1"	"3"	"stool"	"Denmark"	"no"	30538	"above"	30538	"old"
"D195"	"CD144Y.4"	"13"	"66.558999999999997"	"1.9419999999999999"	"1.956"	"15"	"0"	"66.558999999999997"	"1"	"3"	"stool"	"Denmark"	"no"	59813	"above"	59813	"old"
"D196"	"CD146K.2"	"13"	"40.988"	"2.0529999999999999"	"1.7"	"15"	"0"	"40.987999999999992"	"1"	"3"	"stool"	"Denmark"	"no"	40306	"above"	40306	"old"
"D197"	"CD146K.3"	"13"	"38.881999999999998"	"2.032"	"1.7050000000000001"	"15"	"0"	"38.881999999999998"	"1"	"3"	"stool"	"Denmark"	"no"	39510	"above"	39510	"old"
"D198"	"CD146K.4"	"13"	"208.91200000000001"	"1.91"	"2.1139999999999999"	"15"	"0"	"208.91200000000001"	"1"	"3"	"stool"	"Denmark"	"no"	12797	"above"	12797	"old"
"D199"	"Mock_14.1"	"14"	"5.4039999999999999"	"1.6779999999999999"	"0.88600000000000001"	"15"	"0"	"5.4039999999999999"	"1"	"3"	"mock"	""	"no"	42896	"above"	42896	"old"
"D2"	"Blank_9.2"	"9"	"1.5429999999999999"	"-13.151"	"0.30399999999999999"	"15"	"0"	"1.5429999999999999"	"1"	"1"	"blank"	""	"no"	66	"below"	66	"old"
"D20"	"CD010A.4"	"9"	"181.602"	"1.9159999999999999"	"2.0059999999999998"	"15"	"0"	"181.602"	"1"	"1"	"stool"	"Denmark"	"no"	12007	"below"	12007	"old"
"D200"	"CD149P.2"	"14"	"83.236999999999995"	"1.883"	"2.0699999999999998"	"15"	"0"	"83.236999999999995"	"1"	"3"	"stool"	"Denmark"	"no"	14967	"above"	14967	"old"
"D201"	"CD149P.3"	"14"	"48.319000000000003"	"1.8979999999999999"	"2.0950000000000002"	"15"	"0"	"48.319000000000003"	"1"	"3"	"stool"	"Denmark"	"no"	56887	"above"	56887	"old"
"D202"	"CD149P.4"	"14"	"118.81699999999999"	"1.869"	"1.8180000000000001"	"15"	"0"	"118.81699999999999"	"1"	"3"	"stool"	"Denmark"	"no"	25231	"above"	25231	"old"
"D203"	"CD150R.2"	"14"	"50.774999999999999"	"1.833"	"1.798"	"15"	"0"	"50.774999999999999"	"1"	"3"	"stool"	"Denmark"	"no"	16909	"above"	16909	"old"
"D204"	"CD150R.3"	"14"	"9.7230000000000008"	"1.702"	"1.4019999999999999"	"15"	"0"	"9.7230000000000008"	"1"	"3"	"stool"	"Denmark"	"no"	33660	"above"	33660	"old"
"D205"	"CD150R.4"	"14"	"96.876999999999995"	"1.839"	"2.0950000000000002"	"15"	"0"	"96.876999999999995"	"1"	"3"	"stool"	"Denmark"	"no"	25802	"above"	25802	"old"
"D206"	"CD157U.2"	"14"	"69.322000000000003"	"1.8480000000000001"	"1.978"	"15"	"0"	"69.321999999999989"	"1"	"3"	"stool"	"Denmark"	"no"	34875	"above"	34875	"old"
"D207"	"CD157U.3"	"14"	"74.14"	"1.861"	"2.161"	"15"	"0"	"74.14"	"1"	"3"	"stool"	"Denmark"	"no"	32179	"above"	32179	"old"
"D208"	"CD157U.4"	"14"	"83.888000000000005"	"1.849"	"2.0710000000000002"	"15"	"0"	"83.888000000000005"	"1"	"3"	"stool"	"Denmark"	"no"	8998	"below"	8998	"old"
"D209"	"CD159G.2"	"14"	"38.880000000000003"	"1.8859999999999999"	"1.8320000000000001"	"15"	"0"	"38.880000000000003"	"1"	"3"	"stool"	"Denmark"	"no"	43728	"above"	43728	"old"
"D21"	"CD014Y.2"	"9"	"23.734999999999999"	"2.1760000000000002"	"1.762"	"15"	"0"	"23.734999999999999"	"1"	"1"	"stool"	"Denmark"	"no"	36776	"above"	36776	"old"
"D210"	"CD159G.3"	"14"	"35.722000000000001"	"1.87"	"1.8220000000000001"	"15"	"0"	"35.722000000000001"	"1"	"3"	"stool"	"Denmark"	"no"	22044	"above"	22044	"old"
"D211"	"CD159G.4"	"14"	"182.285"	"1.881"	"2.14"	"15"	"0"	"182.285"	"1"	"3"	"stool"	"Denmark"	"no"	13104	"above"	13104	"old"
"D212"	"CD168E.2"	"14"	"110.498"	"1.891"	"2.1880000000000002"	"15"	"0"	"110.498"	"1"	"3"	"stool"	"Denmark"	"no"	9930	"below"	9930	"old"
"D213"	"CD168E.3"	"14"	"35.502000000000002"	"1.895"	"1.95"	"15"	"0"	"35.502000000000002"	"1"	"3"	"stool"	"Denmark"	"no"	29721	"above"	29708	"old"
"D214"	"CD168E.4"	"14"	"94.274000000000001"	"1.8260000000000001"	"2.1110000000000002"	"15"	"0"	"94.274000000000015"	"1"	"3"	"stool"	"Denmark"	"no"	52456	"above"	52456	"old"
"D215"	"CD170Z.2"	"14"	"57.518000000000001"	"1.8640000000000001"	"1.9570000000000001"	"15"	"0"	"57.518000000000001"	"1"	"3"	"stool"	"Denmark"	"no"	17611	"above"	17611	"old"
"D216"	"CD170Z.3"	"14"	"152.93299999999999"	"1.8759999999999999"	"2.1379999999999999"	"15"	"0"	"152.93299999999999"	"1"	"3"	"stool"	"Denmark"	"no"	6434	"below"	6434	"old"
"D217"	"CD170Z.4"	"14"	"231.63900000000001"	"1.88"	"2.036"	"15"	"0"	"231.63900000000001"	"1"	"3"	"stool"	"Denmark"	"no"	10523	"below"	10523	"old"
